Country,City,AccentCity,Population,Latitude,Longitude
cd,lubumbashi,Lubumbashi,1374808.0,-11.666667,27.466667
cd,mbuji-mayi,Mbuji-Mayi,874974.0,-6.15,23.6
cf,bangui,Bangui,684190.0,4.3666667000000015,18.5833333
cg,brazzaville,Brazzaville,1115773.0,-4.2591667,15.284722199999996
ch,zurich,Zurich,346185.0,47.366667,8.55
ci,abidjan,Abidjan,3692570.0,5.309657,-4.012656
ci,bouake,Bouaké,572149.0,7.6938460000000015,-5.030307
cl,antofagasta,Antofagasta,309835.0,-23.65,-70.4
cm,bamenda,Bamenda,393871.0,5.9333333,10.1666667
cm,douala,Douala,1338144.0,4.0502778,9.7
cm,garoua,Garoua,436932.0,9.3,13.4
cm,kousseri,Kousséri,435986.0,12.0783333,15.0308333
cm,maroua,Maroua,319974.0,10.5955556,14.324722199999998
cm,yaounde,Yaoundé,1299446.0,3.8666667,11.516666699999998
cn,aksu,Aksu,340020.0,41.123056,80.264444
cn,anqing,Anqing,358661.0,30.509167,117.050556
cn,anshan,Anshan,1199275.0,41.123611,122.99
cn,anshun,Anshun,351936.0,26.25,105.933333
cn,anyang,Anyang,781129.0,36.099444,114.328889
cn,baicheng,Baicheng,316970.0,45.616667,122.816667
cn,baoding,Baoding,995652.0,38.851111,115.490278
cn,baoji,Baoji,438295.0,34.365907,107.359045
cn,bengbu,Bengbu,576648.0,32.940833000000005,117.360833
cn,benxi,Benxi,987717.0,41.288611,123.765
cn,cangzhou,Cangzhou,527681.0,38.316667,116.866667
cn,changchun,Changchun,2537421.0,43.88,125.322778
cn,changde,Changde,517780.0,29.046378000000004,111.678304
cn,changzhou,Changzhou,949018.0,31.783333,119.966667
cn,chaoyang,Chaoyang,410005.0,41.570278,120.458611
cn,chaozhou,Chaozhou,424787.0,23.665129,116.637864
cn,chengde,Chengde,449325.0,40.77027800000001,118.169722
cn,chengdu,Chengdu,3950437.0,30.666667,104.066667
cn,chifeng,Chifeng,346654.0,42.268333,118.963611
cn,chongqing,Chongqing,3967028.0,29.562778,106.552778
cn,dalian,Dalian,2035307.0,38.912222,121.602222
cn,dandong,Dandong,631973.0,40.129167,124.394722
cn,datong,Datong,1052678.0,40.093611,113.291389
cn,dezhou,Dezhou,379555.0,37.448611,116.2925
cn,dongying,Dongying,306450.0,37.456389,118.485556
cn,foshan,Foshan,627348.0,23.026771,113.131483
cn,fushun,Fushun,1400646.0,41.7,123.883333
cn,fuxin,Fuxin,689050.0,42.015556,121.658889
cn,fuzhou,Fuzhou,1179720.0,26.061389,119.30611100000002
cn,guangzhou,Guangzhou,3152825.0,23.116667,113.25
cn,guilin,Guilin,649352.0,25.281944,110.286389
cn,guiyang,Guiyang,1171633.0,26.583333000000003,106.716667
cn,haikou,Haikou,615835.0,20.045833,110.341667
cn,handan,Handan,1358318.0,36.566667,114.533333
cn,hangzhou,Hangzhou,1878129.0,30.29365,120.161419
cn,harbin,Harbin,3229883.0,45.75,126.65
cn,hefei,Hefei,1388904.0,31.863889,117.280833
cn,hegang,Hegang,743307.0,47.4,130.366667
cn,hengshui,Hengshui,456356.0,37.732222,115.701111
cn,hengyang,Hengyang,759602.0,26.888056,112.615
cn,hohhot,Hohhot,774477.0,40.810556,111.652222
cn,huaibei,Huaibei,903039.0,33.974444,116.791667
cn,huainan,Huainan,1027655.0,32.626389,116.996944
cn,huaiyin,Huaiyin,555230.0,33.588611,119.019167
cn,jiamusi,Jiamusi,549549.0,46.833333,130.35
cn,jiangmen,Jiangmen,532419.0,22.583333,113.083333
cn,jiaojiang,Jiaojiang,470804.0,28.680278,121.442778
cn,jiaozuo,Jiaozuo,517540.0,35.239722,113.233056
cn,jiaxing,Jiaxing,466101.0,30.752198,120.749997
cn,jilin,Jilin,1881977.0,43.850833,126.560278
cn,jinan,Jinan,2069266.0,36.668333,116.997222
cn,jingdezhen,Jingdezhen,310565.0,29.2947,117.207887
cn,jining,Jining,450327.0,35.405,116.581389
cn,jinxi,Jinxi,313247.0,40.764317,120.85327
cn,jinzhou,Jinzhou,604269.0,41.107778,121.141667
